number,label,title,created,html_url,state
217,[],Update rikotu_4747375-1.json,2024-02-09 00:52:18+00:00,https://github.com/dymensionxyz/chain-registry/pull/217,open
218,[],Adding blockchaindev_5542733-1,2024-02-09 01:54:01+00:00,https://github.com/dymensionxyz/chain-registry/pull/218,closed
219,[],Switch enigma_8075698-1 to goldberg,2024-02-09 02:29:24+00:00,https://github.com/dymensionxyz/chain-registry/pull/219,open
220,[],Added my new RollApp,2024-02-09 02:48:38+00:00,https://github.com/dymensionxyz/chain-registry/pull/220,open
221,[],Add files via upload,2024-02-09 06:36:05+00:00,https://github.com/dymensionxyz/chain-registry/pull/221,open
222,[],dympepes on lodestar chain,2024-02-09 07:11:02+00:00,https://github.com/dymensionxyz/chain-registry/pull/222,open
223,[],Add RollApp - EkkoNodes,2024-02-09 07:12:50+00:00,https://github.com/dymensionxyz/chain-registry/pull/223,closed
224,[],Add files via upload,2024-02-09 07:25:58+00:00,https://github.com/dymensionxyz/chain-registry/pull/224,closed
225,[],Avail Dymension rollapp registry,2024-02-09 07:55:53+00:00,https://github.com/dymensionxyz/chain-registry/pull/225,open
226,[],PR to new repo,2024-02-09 08:25:00+00:00,https://github.com/dymensionxyz/chain-registry/pull/226,closed
227,[],Adding sontga_2558659-1,2024-02-09 08:32:13+00:00,https://github.com/dymensionxyz/chain-registry/pull/227,open
228,[],migrate chamatamunew_8306540-1,2024-02-09 10:20:41+00:00,https://github.com/dymensionxyz/chain-registry/pull/228,closed
